id,genre
761053,10749
761053,35
724089,10749
19404,35
19404,18
19404,10749
696374,10749
278,18
278,80
238,18
238,80
424,18
424,36
424,10752
372058,10749
372058,16
372058,18
240,18
240,80
129,16
129,10751
129,14
496243,35
496243,53
496243,18
630566,10402
630566,18
630566,10749
497,14
497,18
497,80
680,53
680,80
637,35
637,18
389,18
13,35
13,18
13,10749
155,18
155,28
155,80
155,53
122,12
122,14
122,28
556574,36
556574,10402
556574,18
164558,99
164558,10402
429,37
11216,18
11216,10749
769,18
769,80
311,18
311,80
522924,35
522924,18
522924,10749
592350,16
592350,28
592350,14
592350,12
346,28
346,18
539,27
539,18
539,53
40096,12
40096,35
550,18
510,18
537061,16
537061,12
537061,35
537061,10751
537061,14
537061,10402
537061,28
537061,18
598,18
598,80
664767,14
664767,28
664767,12
664767,16
324857,28
324857,12
324857,16
324857,878
324857,35
4935,14
4935,16
4935,12
618344,16
618344,28
618344,12
618344,14
618344,878
12477,16
12477,18
12477,10752
378064,16
378064,18
378064,10749
599,18
14537,28
14537,18
14537,36
914,35
1891,12
1891,28
1891,878
244786,18
244786,10402
73,18
3782,18
423,18
423,10752
901,35
901,18
901,10749
567,53
567,9648
567,18
527641,10749
527641,18
18491,18
18491,878
18491,16
18491,14
18491,28
128,12
128,14
128,16
120,12
120,14
120,28
975,18
975,10752
27205,28
27205,878
27205,12
452522,18
452522,9648
452522,80
452522,10770
12493,80
12493,18
12493,9648
12493,53
3082,35
3082,18
807,80
807,9648
807,53
121,12
121,14
121,28
432517,18
432517,9648
432517,53
157336,12
157336,18
157336,878
274,80
274,18
274,53
274,27
101,80
101,18
101,28
207,18
313106,878
313106,12
335,37
18148,18
637920,18
637920,35
637920,10751
504253,16
504253,18
504253,10749
504253,10751
470044,80
470044,18
265177,18
10376,18
10376,10402
10376,10749
290098,53
290098,18
290098,10749
508965,16
508965,10751
508965,12
508965,35
398818,10749
398818,18
105,12
105,35
105,878
105,10751
26451,18
26451,53
28,18
28,10752
797,18
1398,878
1398,18
299534,12
299534,878
299534,28
508442,10751
508442,16
508442,35
508442,18
508442,10402
508442,14
422,14
422,18
24188,18
24188,35
110420,16
110420,18
110420,10751
110420,14
37257,18
37257,9648
37257,80
531428,18
531428,10749
5156,18
490132,18
490132,35
490132,10402
25237,18
25237,10752
25237,36
670,18
670,53
670,9648
670,28
517814,18
299536,12
299536,28
299536,878
20914,35
1585,18
1585,10751
1585,14
77338,18
77338,35
8587,10751
8587,16
8587,18
490,14
490,18
284,35
284,18
284,10749
185,878
185,18
10098,35
10098,18
992,28
992,35
992,9648
399106,10751
399106,16
406997,18
406997,10751
426,9648
426,10749
426,53
694,27
694,53
354912,10751
354912,16
354912,14
354912,10402
354912,35
354912,12
629,18
629,80
629,53
10494,16
10494,53
24382,35
24382,80
16869,18
16869,28
16869,53
16869,10752
11,12
11,28
11,878
439,35
439,18
705,18
77,9648
77,53
58496,99
103,80
103,18
606856,12
606856,10751
872,35
872,10402
872,10749
996,80
996,18
996,9648
996,53
1124,18
1124,9648
1124,53
19,18
19,878
265297,99
100,35
100,80
11878,18
11878,53
614409,35
614409,18
614409,10749
548,80
548,18
548,9648
98,28
98,18
98,12
475557,80
475557,53
475557,18
638507,16
638507,14
638507,12
638507,28
638507,10751
50014,18
455661,10751
455661,16
455661,10749
455661,35
857,18
857,36
857,10752
614,18
411088,9648
411088,80
411088,53
239,35
239,10402
239,10749
239,80
11324,18
11324,53
11324,9648
500,80
500,53
42229,18
42229,10749
437068,18
437068,36
437068,28
935,18
935,35
935,10752
449176,35
449176,18
449176,10749
289,18
289,10749
1422,18
1422,53
1422,80
895,18
895,36
111,28
111,80
111,18
111,53
568160,16
568160,10749
568160,14
568160,18
324786,18
324786,36
324786,10752
603,28
603,878
1396,18
1396,36
832,18
832,28
832,53
832,80
515001,35
515001,10752
515001,18
600,18
600,10752
339877,16
339877,18
339877,9648
334543,18
359940,80
359940,18
489,18
666,18
538362,18
12445,14
12445,12
843,18
843,10749
149871,16
149871,18
149871,14
7345,18
554596,35
68718,18
68718,37
348,27
348,878
1955,18
1955,36
147,18
655,18
961,28
961,12
961,35
961,18
961,10752
37165,35
37165,18
522518,10751
522518,12
522518,18
92321,10749
92321,16
92321,14
406,18
8392,14
8392,16
8392,10751
407806,99
667520,16
667520,18
667520,10749
667520,14
38,878
38,18
38,10749
264644,18
264644,53
307,18
307,36
26022,18
26022,10749
46738,18
46738,10752
46738,9648
19426,18
11645,28
11645,18
11645,36
103663,18
9702,28
9702,80
9702,18
9702,53
310569,18
11423,80
11423,18
11423,53
4348,18
4348,10749
582,18
582,53
780,18
780,36
28978,35
28978,10749
204,18
204,53
204,12
505262,16
505262,28
505262,35
505262,14
505262,12
654,80
654,18
15,9648
15,18
62,878
62,9648
62,12
387,18
387,36
387,10752
9277,35
9277,80
9277,18
400928,18
400928,10751
400928,35
7347,18
7347,28
7347,80
521,80
521,53
120467,35
120467,18
237791,18
237791,10749
821,18
821,36
14,18
424694,10402
424694,18
424694,36
205596,36
205596,18
205596,53
205596,10752
29264,35
29264,18
29264,14
938,37
595,18
595,80
280,28
280,53
280,878
11778,18
11778,10752
3090,12
3090,18
3090,37
962,12
962,35
962,18
12104,10402
18438,18
18438,35
18438,10749
10681,16
10681,10751
10681,878
770,18
770,10752
770,10749
641,80
641,18
641,53
381284,18
381284,36
360814,18
360814,28
11104,18
11104,35
11104,10749
315465,16
315465,14
315465,28
315465,12
315465,18
146233,18
146233,53
146233,80
140420,16
140420,10751
140420,10749
635302,16
635302,28
635302,12
635302,14
635302,18
10404,18
7508,18
38286,35
110,18
110,9648
110,10749
1092,53
1092,9648
28178,18
28178,10751
3175,18
3175,10749
3175,10752
279,10402
